kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,8,4,8,8,0.0662370990000909,0.140090212225914,,
2,8,4,16,16,0.06655036000006476,0.1449301838874817,,
2,8,4,32,32,0.06684977800000524,0.14278118312358856,,
2,8,4,64,64,0.06689633000019057,0.14310398697853088,,
2,8,4,128,128,0.06668517399998564,0.14283820986747742,,
2,8,8,4,4,0.23342176399978598,0.142507404088974,,
2,8,8,8,8,0.23767851599995993,0.14232835173606873,,
2,8,8,16,16,0.24041376099989975,0.1431010514497757,,
2,8,8,32,32,0.2368947710001521,0.14296403527259827,,
2,8,8,64,64,0.23713967999992747,0.14253893494606018,,
2,8,8,128,128,0.23838290899993808,0.14293500781059265,,
2,8,16,4,4,0.8875450149998869,0.14291681349277496,,
2,8,16,8,8,0.9178006110000752,0.14291568100452423,,
2,8,16,16,16,0.8920286100001249,0.14263592660427094,,
2,8,16,32,32,0.9031566529999964,0.14286735653877258,,
2,8,16,64,64,0.890594991999933,0.14276638627052307,,
2,8,16,128,128,0.8920289710001725,0.14283540844917297,,
2,8,32,4,4,3.381888242000059,0.14349281787872314,,
2,8,32,8,8,3.390201645999923,0.1433124542236328,,
2,8,32,16,16,3.3891142449999734,0.14270378649234772,,
2,8,32,32,32,3.4684058289999484,0.1427978277206421,,
2,8,32,64,64,3.4315254809998805,0.14283688366413116,,
2,8,32,128,128,3.471618941000088,0.14284078776836395,,
2,8,64,4,4,13.311413267000034,0.14233532547950745,,
2,8,64,8,8,13.585862597999949,0.14284595847129822,,
2,8,64,16,16,13.658515399999942,0.14285272359848022,,
2,8,64,32,32,13.602777725999886,0.1428898572921753,,
2,8,64,64,64,13.609634338999967,0.14284901320934296,,
2,8,64,128,128,13.602246878000187,0.14285987615585327,,
2,8,128,4,4,53.28076565200013,0.14288820326328278,,
2,8,128,8,8,53.71879984800012,0.1429309993982315,,
2,8,128,16,16,54.40204417099994,0.1428540199995041,,
2,8,128,32,32,54.56346929199981,0.14285917580127716,,
2,8,128,64,64,54.370130821999965,0.14285831153392792,,
2,8,128,128,128,54.62728570399986,0.14285925030708313,,
2,16,4,4,4,0.06484675100000459,0.06259793043136597,,
2,16,4,8,8,0.06505305499990754,0.0674997866153717,,
2,16,4,16,16,0.06540693500005546,0.06618030369281769,,
2,16,4,32,32,0.06709118200001285,0.06662937253713608,,
2,16,4,64,64,0.06563045699999748,0.06668159365653992,,
2,16,4,128,128,0.06666690700012623,0.06659812480211258,,
2,16,8,4,4,0.23621261200014487,0.0632244199514389,,
2,16,8,8,8,0.2381040000000212,0.06738319247961044,,
